"created_at","twitter_id","screen_name","followers_count","friends_count","retweet_count","favorite_count","in_reply_to_screen_name","twitter_url","text","is_retweet","is_quote"
"2019-11-21T21:50:09Z","1197633322664505344","netanyahu",1879665,32,228,0,,"http://twitter.com/netanyahu/status/1197633322664505344","RT @AmirOhana: גאה לעמוד לצידו של ראש הממשלה בנימין נתניהו.  ראש הממשלה איננו אשם.  הוא איננו אשם, משום שכך קובע החוק ומשום שזוהי שיטתנו המ…",true,false
"2019-11-21T21:32:51Z","1197628969941647360","netanyahu",1879665,32,133,0,,"http://twitter.com/netanyahu/status/1197628969941647360","RT @zoharm7: תנועת הליכוד כולה עומדת לצידו של ראש הממשלה ובטוחה בחפותו. אנו קוראים לאזרחי ישראל לא להתרשם מנסיונות גורמי השמאל להפיל את ראש…",true,false
"2019-11-21T21:01:52Z","1197621172495626240","netanyahu",1879665,32,165,930,,"http://twitter.com/netanyahu/status/1197621172495626240","#לחקוראתהחוקרים https://t.co/hzThwNF0f0 https://t.co/vYFXMTrtr4",false,false
"2019-11-21T19:49:49Z","1197603038673981450","netanyahu",1879665,32,244,1706,,"http://twitter.com/netanyahu/status/1197603038673981450","#לחקוראתהחוקרים",false,false
"2019-11-21T19:18:12Z","1197595080154071043","netanyahu",1879665,32,394,2661,,"http://twitter.com/netanyahu/status/1197595080154071043","זה ניסיון של הפיכה שלטונית בעלילות שווא ובתהליך חקירות מזוהם ומגמתי. תהליך שנועד להפיל ראש ממשלה מכהן של הימין - אותי. אני לא אתן לשקר לנצח ואמשיך להוביל את המדינה - באחריות, במסירות, תוך דאגה לביטחון ולעתיד של כולנו.",false,false
"2019-11-21T19:13:46Z","1197593964506951682","netanyahu",1879665,32,478,3709,,"http://twitter.com/netanyahu/status/1197593964506951682","אני לא אתן לשקר לנצח. אמשיך להוביל את המדינה לפי החוק, בדיוק כפי שכתוב, אמשיך להוביל את המדינה באחריות, במסירות, תוך דאגה לביטחון ולעתיד של כולנו. למען המדינה - צריך לחקור את החוקרים!",false,false
"2019-11-21T19:03:47Z","1197591453377212416","netanyahu",1879665,32,295,2365,,"http://twitter.com/netanyahu/status/1197591453377212416","לא חיפשו את האמת. חיפשו אותי. צריך לחקור את החוקרים!",false,false
"2019-11-21T19:01:15Z","1197590818049155078","netanyahu",1879665,32,75,0,,"http://twitter.com/netanyahu/status/1197590818049155078","RT @newsisrael13: מדינת ישראל נגד בנימין נתניהו | רה""מ נתניהו: ""העיתוי הרגיש ממחיש כמה התהליך הזה נגוע בשיקולים זרים. מה שקרה בתהליך החקירו…",true,false
"2019-11-21T19:00:54Z","1197590727993286656","netanyahu",1879665,32,62,0,,"http://twitter.com/netanyahu/status/1197590727993286656","RT @kann_news: נתניהו: צריך לדרוש לחקור את החוקרים. התהליך מזוהם ונועד להפיל אותי https://t.co/XQuKXw7UAP",true,false
"2019-11-21T18:57:40Z","1197589916663865346","netanyahu",1879665,32,229,1708,,"http://twitter.com/netanyahu/status/1197589916663865346","יש להקים ועדה חיצונית בלתי תלויה שתחקור את השיטה ותשים לה סוף. הגיע הזמן לחקור את החוקרים. הגיע הזמן לחקור את הפרקליטות שמאשרת חקירות מזוהמות",false,false
"2019-11-21T18:56:11Z","1197589542129287168","netanyahu",1879665,32,218,1569,,"http://twitter.com/netanyahu/status/1197589542129287168","התרגיל הפלילי של סחיטה באיומים כדי לחלץ הודאה מעד המדינה ניר חפץ נחשף בטעות. גם עד המדינה הנוסף בתיק 4000 המפוברק, מומו פילבר, עבר תרגיל סחיטה פסול שעדיין מוסתר מהציבור. מה עוד מסתירים מהציבור בדרכים שבהם גייסו עדי מדינה ומדיחים אותם לעדות שקר?",false,false
"2019-11-21T18:52:11Z","1197588534217052161","netanyahu",1879665,32,86,0,,"http://twitter.com/netanyahu/status/1197588534217052161","RT @kann_news: נתניהו: צריך להיות עיוור כדי לא לראות שמשהו לא טוב קורה במשטרה ופרקליטות, זה ניסיון הפיכה שלטונית https://t.co/Yz0PLAd6Tm",true,false
"2019-11-21T18:51:04Z","1197588252770885634","netanyahu",1879665,32,263,2278,,"http://twitter.com/netanyahu/status/1197588252770885634","לחקור את החוקרים!",false,false
"2019-11-21T18:44:37Z","1197586630737088513","netanyahu",1879665,32,64,472,,"http://twitter.com/netanyahu/status/1197586630737088513","שידור חי https://t.co/RgT8KiOP8e",false,false
"2019-11-21T05:19:03Z","1197383904782684160","netanyahu",1879665,32,265,1514,,"http://twitter.com/netanyahu/status/1197383904782684160","״אין בית משפט במדינה מודרנית-נאורה שהרשיע עובד ציבור בעבירת שוחד, בגין קבלת סיקור חיובי. אם רשויות החוק יאמצו לראשונה תיאוריה זו, הן יוציאו את ישראל מהמדינות המתקדמות הדוגלות בחופש הביטוי והעיתונות״ https://t.co/0CMTgApuYx",false,false
"2019-11-21T05:12:10Z","1197382171087892480","netanyahu",1879665,32,239,1916,,"http://twitter.com/netanyahu/status/1197382171087892480","שמעתי את בני גנץ אמש ואני מתעלם מההתקפות האישיות חסרות הבסיס. חשוב לי להבהיר שוב דבר אחד - אני מרים את הכפפה ומציע לו: בוא למשא ומתן אישי מיידי אתה ואני ללא תנאים מוקדמים.  ניתן להתגבר על המחלוקות. המדינה חשובה לכולנו! חייבים לעשות מאמץ אחרון משותף להקמת ממשלת אחדות.",false,false
"2019-11-20T18:52:41Z","1197226274332332034","netanyahu",1879665,32,61,442,"netanyahu","http://twitter.com/netanyahu/status/1197226274332332034","ובהמשך לזה -  https://t.co/p6zAcqztwv",false,false
"2019-11-20T18:50:56Z","1197225832625905669","netanyahu",1879665,32,128,888,,"http://twitter.com/netanyahu/status/1197225832625905669","עמד שבועות בחקירה ברשות ני״ע - נשבר תוך יום בחקירה בלהב 433 https://t.co/v4tSUZ9wCd",false,false
"2019-11-20T18:36:46Z","1197222269191372800","netanyahu",1879665,32,289,1999,,"http://twitter.com/netanyahu/status/1197222269191372800","בני גנץ, אני שם בצד את הכישלון שלך בהקמת ממשלת אחדות, רק כדי להעביר לך מסר ברור לטובת מדינת ישראל: https://t.co/XqI8vMGr2n",false,false
"2019-11-20T18:36:18Z","1197222151591514113","netanyahu",1879665,32,133,0,,"http://twitter.com/netanyahu/status/1197222151591514113","RT @avishaigrinzaig: פילבר על המניע להפוך לעד מדינה: ""יכולתי לצאת זכאי, אבל אין לי 3 שנים מיותרות ולא 2 מיליון שקל מיותרים""  דברים אלה שאמר…",true,false
"2019-11-20T14:15:57Z","1197156632628736001","netanyahu",1879665,32,164,971,,"http://twitter.com/netanyahu/status/1197156632628736001","בני גנץ, גבי אשכנזי - איך הסכמתם להיגרר אחרי יאיר לפיד לרעיון המטורף הזה של ממשלת מיעוט שנשענת על תומכי טרור? איך העזתם בכלל לחשוב על הפקרת ביטחון ישראל? https://t.co/wrmQ9ep1OO",false,false
"2019-11-20T14:07:18Z","1197154455726235650","netanyahu",1879665,32,59,0,,"http://twitter.com/netanyahu/status/1197154455726235650","RT @KnessetT: רה""מ @netanyahu בפנייה ל@gantzbe: ""אני מוכן לשבת איתך עוד חמש דקות. תשתחרר מהווטו של @yairlapid מה הוא מהלך קסמים עליך? תעשה…",true,false
"2019-11-20T14:06:18Z","1197154203589849091","netanyahu",1879665,32,212,1736,,"http://twitter.com/netanyahu/status/1197154203589849091","אני רוצה להודות לאביגדור ליברמן שהסיר את הרעיון של ממשלת מיעוט שנשענת על תומכי טרור. בני גנץ, גבי אשכנזי - איך הסכמתם ללכת אחרי לפיד לרעיון המטורף הזה? מה קרה לכם?",false,false
"2019-11-20T14:04:29Z","1197153745022464000","netanyahu",1879665,32,152,964,,"http://twitter.com/netanyahu/status/1197153745022464000","אם חלילה יהיו בחירות, ננצח. אבל הרבה יותר חשוב שהמדינה תנצח ושנקים ממשלת אחדות. בשביל זה צריך מנהיגות. בני גנץ - תשתחרר מהוטו של יאיר לפיד ובוא לפגוש אותי כדי שנקים ממשלת אחדות - עכשיו! https://t.co/T8FIyyZjkb",false,false
"2019-11-20T13:43:10Z","1197148379945603073","netanyahu",1879665,32,48,313,,"http://twitter.com/netanyahu/status/1197148379945603073","שידור חי: סיעות המחנה הלאומי מתכנסות בכנסת https://t.co/ovfhNXPwHS",false,false
"2019-11-20T12:58:26Z","1197137121540214784","netanyahu",1879665,32,92,1012,,"http://twitter.com/netanyahu/status/1197137121540214784","רעייתי שרה ואני אבלים על פטירתה של ג'מילה שופי, אלמנתו של יקירנו סלים שופי הבלתי נשכח.  תמיד נזכור את צניעותה ומסירותה למשפחתה ולבעלה גיבור ישראל. אנו שולחים תנחומים מעומק ליבנו למשפחה.",false,false
"2019-11-20T11:28:10Z","1197114408264228865","netanyahu",1879665,32,264,0,,"http://twitter.com/netanyahu/status/1197114408264228865","RT @ariyederi: יאיר, די עם השקרים!  הייתם מוכנים לתת לנו הכל, ולחתום לנו על שמירת הסטטוס קוו ככתבו ולשונו כדי שנעזוב את נתניהו ונצטרף אליכם…",true,false
"2019-11-20T08:30:07Z","1197069597620539392","netanyahu",1879665,32,189,1459,,"http://twitter.com/netanyahu/status/1197069597620539392","כחול לבן לא הסכימה עד היום לקבל את מתווה נשיא המדינה ואת הקביעה המופרשת שלו ללכת לממשלת אחדות רחבה. באותה העת הם מתעקשים על הבלוק שהם בנו עם תומכי הטרור של הרשימה המשותפת, במטרה להקים ממשלת מיעוט",false,false
"2019-11-20T05:09:20Z","1197019068391477248","netanyahu",1879665,32,192,1585,,"http://twitter.com/netanyahu/status/1197019068391477248","הבהרתי שמי שיפגע בנו - אנו נפגע בו. כך עשינו הלילה מול מטרות צבאיות של כוח קודס האיראני ומטרות צבאיות סוריות בסוריה, לאחר שאמש שוגרו משטחה רקטות לעבר ישראל. נמשיך לשמור בתקיפות על ביטחון ישראל.",false,false
"2019-11-20T05:06:12Z","1197018282764750848","netanyahu",1879665,32,84,786,"netanyahu","http://twitter.com/netanyahu/status/1197018282764750848","גנץ ולפיד שיקרו במצח נחושה לבוחריהם כשאמרו ״לא ננהל משא ומתן עם המפלגות הערביות, לא נעשה גוש חוסם איתן״. בכל מה שהזהרתי צדקתי.   אסור להקים ממשלת מיעוט שתהייה תלויה בתומכי טרור.",false,false
"2019-11-20T05:06:12Z","1197018281535844352","netanyahu",1879665,32,174,1551,,"http://twitter.com/netanyahu/status/1197018281535844352","לצערי, אמש בשיחתנו סירב בני גנץ לקבל את התנאי שהציב אביגדור ליברמן - קבלת מתווה הנשיא לפיו אני כראש ממשלה מכהן אהיה ראשון ברוטציה על ראשות הממשלה.   ליברמן אמר שילך עם הצד שלא יסרב. עכשיו נותר רק לראות אם אביגדור ליברמן יעמוד בהתחייבותו.",false,false
"2019-11-19T20:37:10Z","1196890177823744000","netanyahu",1879665,32,230,1421,,"http://twitter.com/netanyahu/status/1196890177823744000","המשפטן הידוע, פרופסור אלן דרושביץ: ״על היועמ״ש לסגור את תיקי 2000 ו-4000״ https://t.co/ph97Rvhgta",false,false
"2019-11-19T20:05:02Z","1196882093063770112","netanyahu",1879665,32,265,1627,,"http://twitter.com/netanyahu/status/1196882093063770112","קראתי לבני גנץ ואביגדור ליברמן להקים ממשלת אחדות רחבה, שתשמור על ביטחון ישראל ותספח את בקעת הירדן. https://t.co/KxXuMSmPDq",false,false
"2019-11-19T12:30:50Z","1196767788775432193","netanyahu",1879665,32,272,1705,,"http://twitter.com/netanyahu/status/1196767788775432193","זהו יום גדול מאוד למדינת ישראל והישג שיעמוד לדורות. https://t.co/NGUerQMKFq",false,false
"2019-11-18T22:46:37Z","1196560367348002819","netanyahu",1879665,32,220,1217,"netanyahu","http://twitter.com/netanyahu/status/1196560367348002819","This does not prevent negotiations.   On the contrary, it advances peace because it is not possible to build true peace based on lies.",false,false
"2019-11-18T22:46:36Z","1196560365661888512","netanyahu",1879665,32,356,1682,"netanyahu","http://twitter.com/netanyahu/status/1196560365661888512","I said to President Trump that we are not in a foreign land. This is our homeland for over 3,000 years. The reason that we are called “Jews” is because we came from here, from Judea.",false,false
"2019-11-18T22:46:36Z","1196560363875160070","netanyahu",1879665,32,1094,5310,,"http://twitter.com/netanyahu/status/1196560363875160070","I spoke on the phone with US President Donald Trump and told him that he had corrected a historic injustice  Somebody needed to say a simple truth, and President Trump did this, just as he did with the recognition of the Golan Heights and the moving of the US embassy to Jerusalem",false,false
"2019-11-18T22:10:14Z","1196551211459190785","netanyahu",1879665,32,136,1047,"netanyahu","http://twitter.com/netanyahu/status/1196551211459190785","הסיבה שאנו נקראים ""יהודים"" זה משום שבאנו מכאן, מיהודה. זה לא מונע משא ומתן, להיפך - זה מקדם את השלום כי אי אפשר לבנות שלום אמיתי על בסיס שקרים.",false,false
"2019-11-18T22:10:13Z","1196551209043267584","netanyahu",1879665,32,285,2154,,"http://twitter.com/netanyahu/status/1196551209043267584","שוחחתי בטלפון עם נשיא ארה""ב דונלד טראמפ, הודיתי לו ואמרתי שהוא תיקן עוול היסטורי. מישהו היה צריך לומר את האמת הפשוטה והנשיא טראמפ עשה זאת כפי שעשה בהכרה בגולן ובהעברת השגרירות לירושלים. אמרתי לנשיא טראמפ שאנחנו לא בארץ זרה: זוהי המולדת שלנו למעלה מ-3000 שנה,",false,false
"2019-11-18T20:29:04Z","1196525751614488577","netanyahu",1879665,32,166,1277,,"http://twitter.com/netanyahu/status/1196525751614488577","תודה לאלפים הערב בפתח תקווה. תמיכה אדירה בעד הצדק והאמת, ונגד אכיפה בררנית ומסע צייד. אוהב אתכם! https://t.co/pkRFQshayv",false,false
"2019-11-18T20:04:09Z","1196519483701157890","netanyahu",1879665,32,343,2722,,"http://twitter.com/netanyahu/status/1196519483701157890","מדהים: בשעה שארצות הברית מכירה בזכויותינו בארץ ישראל, בני גנץ מנסה להקים ממשלת מיעוט עם מי שלא מכירים באף זכות שלנו בארצנו",false,false
"2019-11-18T20:01:43Z","1196518870716223489","netanyahu",1879665,32,252,1705,,"http://twitter.com/netanyahu/status/1196518870716223489","יום היסטורי! https://t.co/UyvF0j53mc",false,false
"2019-11-18T16:33:28Z","1196466461990109184","netanyahu",1879665,32,47,0,,"http://twitter.com/netanyahu/status/1196466461990109184","RT @GLZRadio: קצינים לשעבר פונים ל-@Kachollavan19: ""ממשלה בתמיכת הערבים - חציית קו"" | סא""ל במילואים דן שיאון, לשעבר מפקד טייסת קרב בחיה""א,…",true,false
"2019-11-18T14:40:43Z","1196438088135913472","netanyahu",1879665,32,236,1353,,"http://twitter.com/netanyahu/status/1196438088135913472","ממשלת מיעוט שתלויה בתומכי טרור תהיה ממשלת החלומות של חמאס. אסור לתת לזה לקרות! https://t.co/pcUs6wuLiU",false,false
"2019-11-17T19:27:52Z","1196147963699052547","netanyahu",1879665,32,313,2058,,"http://twitter.com/netanyahu/status/1196147963699052547","כך תראה שיחת טלפון בטלפון האדום בממשלה שתלויה באחמד טיבי ואיימן עודה: https://t.co/YeFU32vzv7",false,false
"2019-11-17T17:59:47Z","1196125797318311936","netanyahu",1879665,32,105,646,,"http://twitter.com/netanyahu/status/1196125797318311936","כנס חירום. שידור חי  https://t.co/Ek8rpVh5hs",false,false
"2019-11-17T11:50:47Z","1196032933938810880","netanyahu",1879665,32,139,1014,,"http://twitter.com/netanyahu/status/1196032933938810880","למה עכשיו? https://t.co/OkNP6vj6UC",false,true
"2019-11-17T08:51:00Z","1195987690279383040","netanyahu",1879665,32,206,864,,"http://twitter.com/netanyahu/status/1195987690279383040","רטווטו https://t.co/9RFZcUM5Rx",false,false
