id,user,user_url,time,url,text,a_id,a_user,a_user_url,a_time,a_url,a_text,att_type,att_url,media_url,ext_url,ext_text,comment_count,toplevel_comment_count,reaction_count,share_count,reactors,like,love,anger,haha,support,sorry,wow
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTkyNDUyNzYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-11 10:01:32,https://www.facebook.com/borisjohnson/posts/10158219245276317,"I am shocked and deeply saddened by the developments in the Sarah Everard investigation. 

Like the whole country my thoughts are with her family and friends. We must work fast to find all the answers to this horrifying crime.",-,-,-,,-,-,-,-,-,-,-,1903,711,11521,386,11521,7468,188,25.0,9.0,1013.0,2805.0,13.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTc2Mzc3NzYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-10 15:00:23,https://www.facebook.com/borisjohnson/posts/10158217637776317,"“Extraordinary. Unexpected. Fantastic.”

A Beacon of Hope: The UK Vaccine Story. 

Coming soon.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/534182651316105/,-,-,-,1707,770,4855,470,4855,3942,598,56.0,214.0,36.0,2.0,7.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTc0ODY4MTEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-10 13:00:53,https://www.facebook.com/borisjohnson/posts/10158217486811317,"The UK is united by so many ties of people, history, culture, business and much more.

We are at our best when all four parts fire on all cylinders. With 
Sir Peter Hendy's transport connectivity review, we can make our economy and Union stronger than ever before 🇬🇧",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/1079775345865157/,-,-,-,1096,575,4994,538,4994,4340,508,30.0,74.0,30.0,2.0,10.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTYwNzU2NzEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-09 20:45:58,https://www.facebook.com/borisjohnson/posts/10158216075671317,"Last week I met with healthcare professionals who are working tremendously hard to boost vaccine confidence amongst ethnic minority groups. 
 
It is vital that we continue to encourage everyone, in every community, to come forward to take the vaccine when it is their turn.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/3786465404772974/,-,-,-,2086,836,4458,438,4458,3744,355,63.0,240.0,45.0,4.0,7.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTM4OTk2NTYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-08 21:11:18,https://www.facebook.com/borisjohnson/posts/10158213899656317,"This has been a big day and an emotional day for millions of families up and down the country as children see – and play with – their friends for the first time in months.
 
I want to thank the parents and all those who have been teaching at home, who have had to master Zoom, who’ve had to communicate every detail of the syllabus from fronted adverbials to quadratic equations.
 
And we all know that the burden has disproportionately fallen on women, often holding down jobs and providing childcare at the same time.
 
So our job now as government is to build on your efforts so that from now on our school children not only catch up on lost learning but take the biggest possible step forwards with a concerted national programme for educational recovery.
 
It is thanks to all of you – parents, teachers, pupils –
thanks to this huge national effort to keep kids at home that we have been able significantly to reduce the spread of the virus.
 
And so today we have been able to take that crucial first step on what we hope is our cautious but irreversible roadmap to freedom.",-,-,-,,-,-,Photo,-,https://www.facebook.com/borisjohnson/photos/a.238842266316/10158213866071317/,-,-,2433,1180,21330,781,21330,18246,2692,76.0,95.0,202.0,5.0,14.0
UzpfSTc5NzI5OTEzMTY6MTg0MDE1OTU2NjE1MjE2Ng==,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-08 15:57:36,https://www.facebook.com/borisjohnson/videos/1840159566152166/,"WATCH LIVE: An update on coronavirus (8 March 2021)

Speakers:
 
- Boris Johnson, Prime Minister
- Dr Jenny Harries, Deputy Chief Medical Officer for England",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/1840159566152166/,-,-,-,5096,3617,4271,438,4271,2667,1021,323.0,131.0,52.0,42.0,35.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTMxODY1NTYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-08 15:31:48,https://www.facebook.com/borisjohnson/posts/10158213186556317,"Great to welcome John Kerry back to London today and discuss our joint efforts to protect our planet.

The UK and US have an exciting shared agenda to drive down global emissions ahead of COP26 in November.

🇬🇧🇺🇸",-,-,-,,-,-,Photo,-,https://www.facebook.com/borisjohnson/photos/a.238842266316/10158213170021317/,-,-,2563,1962,9022,487,9022,7255,469,258.0,933.0,63.0,24.0,20.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTI2ODQ3NjEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-08 09:29:33,https://www.facebook.com/borisjohnson/posts/10158212684761317,"This International Women’s Day I want to pay tribute to some of the leading figures in the UK’s vaccination programme.

Their ingenuity, dedication and hard work is an inspiration to all of us.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/3636733123112671/,-,-,-,798,440,3981,657,3981,3222,625,24.0,43.0,60.0,1.0,6.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTI1OTA0MzEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-08 08:00:35,https://www.facebook.com/borisjohnson/posts/10158212590431317,"Today pupils return to schools in England.

I want to thank teachers, parents, guardians and carers for the colossal work you have done to keep kids learning throughout the pandemic.
 
Getting all schools back has been our priority and the first step of our cautious roadmap back to normality.",-,-,-,,-,-,-,-,-,-,-,3011,1435,21023,592,21023,18740,1926,93.0,101.0,141.0,10.0,12.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTExMTUzODYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-07 17:39:06,https://www.facebook.com/borisjohnson/posts/10158211115386317,"I met some wonderful volunteers at Jesus House this morning who are spending their Sunday running a vaccination centre and protecting their local community.
 
Thank you to everyone across the UK who is playing their part to beat this virus.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/256732786108099/,-,-,-,1493,584,4045,272,4045,3502,404,32.0,41.0,55.0,6.0,5.0
